Question Number,Question Title,Voted On Question?,Vote Index,Vote Title,Voter Name,Voter Email,Vote Time
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,³,107,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,Z,110,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,,102,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,,67,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,­,105,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,|,68,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,,43,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,Yes,´,667,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
1,How many Skittles are in the vase?,No,-,-,Anonymous,Email Not Captured,-
1,How many Skittles are in the vase?,No,-,-,Anonymous,Email Not Captured,-
1,How many Skittles are in the vase?,No,-,-,Anonymous,Email Not Captured,-
1,How many Skittles are in the vase?,No,-,-,Anonymous,Email Not Captured,-
1,How many Skittles are in the vase?,No,-,-,Anonymous,Email Not Captured,-
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,A,400,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,B,276,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,C,249,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,D,346,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,E,314,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,F,300,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,G,271,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,H,315,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,I,284,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,J,549,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,K,320,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,L,480,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,M,285,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,N,280,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,O,425,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,P,287,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
2,How many miles is it from Slalom office to the hotel? (according to Google),Yes,Q,358,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
